geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
522742,ru,EU,"Европа",RU,"Россия",KGD,"Калининградская область",,,"Неман",,Europe/Kaliningrad,0
522775,ru,EU,"Европа",RU,"Россия",TVE,"Тверская область",,,"Нелидово",,Europe/Moscow,0
522799,ru,EU,"Европа",RU,"Россия",YAR,"Ярославская область",,,"Некрасовское",,Europe/Moscow,0
522803,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Некрасовский",,Europe/Moscow,0
522942,ru,EU,"Европа",RU,"Россия",BA,"Башкортостан",,,"Нефтекамск",,Asia/Yekaterinburg,0
522945,ru,EU,"Европа",RU,"Россия",SAM,"Самарская область",,,"Нефтегорск",,Europe/Samara,0
523064,ru,EU,"Европа",RU,"Россия",IN,"Ингушетия",,,"Назрань",,Europe/Moscow,0
523090,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Назарьево",,Europe/Moscow,0
523161,ru,EU,"Европа",RU,"Россия",IVA,"Ивановская область",,,"Наволоки",,Europe/Moscow,0
523186,ru,EU,"Европа",RU,"Россия",BRY,"Брянская область",,,"Навля",,Europe/Moscow,0
523198,ru,EU,"Европа",RU,"Россия",NIZ,"Нижегородская область",,,"Навашино",,Europe/Moscow,0
523248,ru,EU,"Европа",RU,"Россия",BA,"Башкортостан",,,"Наумовка",,Asia/Yekaterinburg,0
523382,ru,EU,"Европа",RU,"Россия",ORL,"Орловская область",,,"Нарышкино",,Europe/Moscow,0
523392,ru,EU,"Европа",RU,"Россия",NEN,"Ненецкий АО",,,"Нарьян-Мар",,Europe/Moscow,0
523414,ru,EU,"Европа",RU,"Россия",CHE,"Челябинская",,,"Наровчатка",,Asia/Yekaterinburg,0
523426,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Наро-Фоминск",,Europe/Moscow,0
523443,ru,EU,"Европа",RU,"Россия",AST,"Астраханская область",,,"Нариманов",,Europe/Astrakhan,0
523523,ru,EU,"Европа",RU,"Россия",KB,"Кабардино-Балкария",,,"Нальчик",,Europe/Moscow,0
523553,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Нахабино",,Europe/Moscow,0
523662,ru,EU,"Европа",RU,"Россия",KR,"Карелия",,,"Надвоицы",,Europe/Moscow,0
523750,ru,EU,"Европа",RU,"Россия",TA,"Татарстан",,,"Набережные Челны",,Europe/Moscow,0
523812,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Мытищи",,Europe/Moscow,0
523859,ru,EU,"Европа",RU,"Россия",YAR,"Ярославская область",,,"Мышкин",,Europe/Moscow,0
524081,ru,EU,"Европа",RU,"Россия",ORL,"Орловская область",,,"Мужиково",,Europe/Moscow,0
524177,ru,EU,"Европа",RU,"Россия",SAM,"Самарская область",,,"Мусорка",,Europe/Samara,0
524294,ru,EU,"Европа",RU,"Россия",VLA,"Владимирская область",,,"Муром",,Europe/Moscow,0
524299,ru,EU,"Европа",RU,"Россия",MUR,"Мурманская область",,,"Мурмаши",,Europe/Moscow,0
524305,ru,EU,"Европа",RU,"Россия",MUR,"Мурманская область",,,"Мурманск",,Europe/Moscow,0
524311,ru,EU,"Европа",RU,"Россия",LEN,"Ленинградская область",,,"Мурино",,Europe/Moscow,0
